Mods count: 318
 
jar name                                                                       | mod id (isMCreator)                      | mixin configs
fzzy_config-0.7.2+1.21+neoforge.jar                                            | fzzy_config                              | 
    /META-INF/jars/jankson-1.2.3.jar                                           |                                          | 
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                        |                                          | 
GatewaysToEternity-1.21.1-5.1.0.jar                                            | gateways                                 | gateways.mixins.json
geckolib-neoforge-1.21.1-4.7.7.jar                                             | geckolib                                 | geckolib.mixins.json
generatorgalore-1.21.1-1.6.3.jar                                               | generatorgalore                          | 
GeOre-1.21.1-6.1.0.jar                                                         | geore                                    | geore.mixins.json
GeOre_Nouveau-1.21.1-0.5.5.jar                                                 | georenouveau                             | georenouveau.mixins.json
Glassential-renewed-neoforge-1.21.1-3.2.2.jar                                  | glassential                              | glassential.neoforge.mixins.json, glassential.mixins.json
Glodium-1.21-2.2-neoforge.jar                                                  | glodium                                  | 
GravitationalModulatingAdditionalUnit-1.21.1-6.4.jar                           | gmut                                     | gmut.mixin.common.json, gmut.mixin.client.json
growthacceleratortiers-1.0.3_neoforge_1.21.1.jar                               | growthacceleratortiers                   | growthacceleratortiers.mixins.json
guideme-21.1.14.jar                                                            | guideme                                  | guideme.optional.mixins.json
handcrafted-neoforge-1.21.1-4.0.3.jar                                          | handcrafted                              | handcrafted-common.mixins.json
HostileNeuralNetworks-1.21.1-6.3.0.jar                                         | hostilenetworks                          | hostilenetworks.mixins.json
ImmersiveEngineering-1.21.1-12.4.2-194.jar                                     | immersiveengineering                     | immersiveengineering.mixins.json
    /META-INF/jarjar/BlockModelSplitter-2.0.1.jar                              |                                          | 
    /META-INF/jarjar/DualCodecs-0.1.2.jar                                      |                                          | 
industrialforegoing-1.21-3.6.34.jar                                            | industrialforegoing                      | META-INF/industrialforegoing.mixins.json
integratedcrafting-1.21.1-neoforge-1.2.3.jar                                   | integratedcrafting                       | 
integrateddynamics-1.21.1-neoforge-1.27.9.jar                                  | integrateddynamics                       | mixins.integrateddynamics.json
integratedterminals-1.21.1-neoforge-1.6.15.jar                                 | integratedterminals                      | 
integratedtunnels-1.21.1-neoforge-1.8.44.jar                                   | integratedtunnels                        | 
invtweaks-1.21.1-1.3.2.jar                                                     | invtweaks                                | 
iris-neoforge-1.8.8+mc1.21.1.jar                                               | iris                                     | mixins.iris.forge.json, mixins.iris.compat.sodium.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, iris-batched-entity-rendering.mixins.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json
    /META-INF/jarjar/glsl-transformer-2.0.1.jar                                |                                          | 
    /META-INF/jarjar/jcpp-1.4.14.jar                                           |                                          | 
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                     | fabric_api_base                          | 
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar            | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.0+acb05a3919.jar               | fabric_renderer_api_v1                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar | fabric_rendering_data_attachment_v1      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
ironfurnaces-neoforge-1.21.1-4.3.1.jar                                         | ironfurnaces                             | 
IronJetpacks-1.21.1-8.0.10.jar                                                 | ironjetpacks                             | 
itemcollectors-1.1.10-neoforge-mc1.21.jar                                      | itemcollectors                           | itemcollectors.mixins.json
Jade-1.21.1-NeoForge-15.10.3.jar                                               | jade                                     | jade.mixins.json
JadeAddons-1.21.1-NeoForge-6.1.0.jar                                           | jadeaddons                               | jadeaddons.mixins.json
jei-1.21.1-neoforge-19.21.2.313.jar                                            | jei                                      | 
jeimultiblocks-1.21.1-1.0.4.jar                                                | jeimultiblocks                           | 
